title,description,link,source,author,published,scraped_at,guid
"Police disperse anti-Gaza war protest in Arab-Israeli city with stun grenades, arrest four","Police claimed that protesters chanted slogans which they said constituted incitement, and held signs that could 'disrupt public order.' A protester described the police as using excessive force during the arrests: 'The officers didn't wait for chants or clashes; they just decided to end the protest by force'",https://www.haaretz.com/israel-news/2025-09-23/ty-article/.premium/police-disperse-anti-gaza-war-protest-in-arab-israeli-city-with-stun-grenades-arrest-four/00000199-781e-df8f-afbd-fd5ff4d30000,Haaretz,Deiaa Haj Yahia,2025-09-23T19:55:27,2025-09-24 20:09:52.713370,https://www.haaretz.com/israel-news/2025-09-23/ty-article/.premium/police-disperse-anti-gaza-war-protest-in-arab-israeli-city-with-stun-grenades-arrest-four/00000199-781e-df8f-afbd-fd5ff4d30000
"Amsterdam city council votes to bar Israeli sports teams, citing 'racist and extremist views'","Leader of left-wing Denk party, which submitted the proposal, said that Maccabi Tel Aviv would be included in the ban, since its fans 'support genocide, which is reason enough'",https://www.haaretz.com/israel-news/2025-09-24/ty-article/amsterdam-city-council-votes-to-bar-israeli-sports-teams/00000199-7851-daea-adff-7ff35c230000,Haaretz,Haaretz Sports Staff,2025-09-23T21:03:08,2025-09-24 20:09:52.713336,https://www.haaretz.com/israel-news/2025-09-24/ty-article/amsterdam-city-council-votes-to-bar-israeli-sports-teams/00000199-7851-daea-adff-7ff35c230000
UN-appointed panel calls for Israel to be thrown out of world soccer over Gaza 'genocide',"Team of experts, including Francesca Albanese, urges FIFA and UEFA 'to take every measure possible to end the genocide in Gaza'",https://www.haaretz.com/israel-news/2025-09-24/ty-article/un-appointed-panel-calls-for-israel-to-be-thrown-out-of-world-soccer-over-gaza-genocide/00000199-7867-df8f-afbd-fd6f5c670002,Haaretz,Haaretz Sports Staff,2025-09-23T21:24:54,2025-09-24 20:09:52.713308,https://www.haaretz.com/israel-news/2025-09-24/ty-article/un-appointed-panel-calls-for-israel-to-be-thrown-out-of-world-soccer-over-gaza-genocide/00000199-7867-df8f-afbd-fd6f5c670002
"Netanyahu before departing for UN, Trump meeting: 'There will be no Palestinian state'",,https://www.haaretz.com/israel-news/2025-09-24/ty-article-live/syria-and-israel-close-to-de-escalation-agreement-u-s-envoy-says/00000199-7963-db6e-a5d9-ff6f20b20000,Haaretz,Haaretz,2025-09-24T02:00:44,2025-09-24 20:09:52.713279,https://www.haaretz.com/israel-news/2025-09-24/ty-article-live/syria-and-israel-close-to-de-escalation-agreement-u-s-envoy-says/00000199-7963-db6e-a5d9-ff6f20b20000
"Israel targets Gaza aid flotilla with drones and explosions, activists say","Israel previously said that the activists' refusal to unload the aid in the southern port city of Ashkelon 'once again highlights the insincerity of the flotilla members and their mission to serve Hamas, rather than the people in Gaza,' referring to it as 'the Hamas flotilla'",https://www.haaretz.com/israel-news/2025-09-24/ty-article/israel-targets-gaza-aid-flotilla-with-drones-and-explosions-activists-say/00000199-79f5-d27b-affd-7ff5c9460000,Haaretz,Nir Hasson,2025-09-24T05:36:36,2025-09-24 20:09:52.713250,https://www.haaretz.com/israel-news/2025-09-24/ty-article/israel-targets-gaza-aid-flotilla-with-drones-and-explosions-activists-say/00000199-79f5-d27b-affd-7ff5c9460000
Trump talks Gaza war with Arab and Muslim leaders on sidelines of UN General Assembly,"The meeting, which lasted nearly an hour, was viewed as an opportunity for Arab and Muslim leaders to collectively influence Trump's stance on the Gaza war. Several leaders, including Trump, raised their hands to signal the session had been positive",https://www.haaretz.com/middle-east-news/2025-09-24/ty-article/.premium/trump-talks-gaza-war-with-arab-and-muslim-leaders-on-sidelines-of-un-general-assembly/00000199-7a22-daea-adff-7fe3ecda0000,Haaretz,Liza Rozovsky,2025-09-24T06:27:11,2025-09-24 20:09:52.713218,https://www.haaretz.com/middle-east-news/2025-09-24/ty-article/.premium/trump-talks-gaza-war-with-arab-and-muslim-leaders-on-sidelines-of-un-general-assembly/00000199-7a22-daea-adff-7fe3ecda0000
'Oct. 7 as a means of intimidation': Hostage's son says Netanyahu using hostages to establish dictatorship in Israel,"Boaz Zalmanovich's father, Arye, was abducted into Gaza during the Oct. 7 Hamas attack and murdered in captivity. Boaz describes the Netanyahu government policies that have left hostages to die as 'a moral and ethical rupture' that is deepening the crisis in Israeli society",https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/hostages-son-says-netanyahu-using-hostages-oct-7-to-establish-dictatorship-in-israel/00000199-7a57-d04a-adfd-7f57d14a0000,Haaretz,Adi Hashmonai,2025-09-24T06:56:31,2025-09-24 20:09:52.713187,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/hostages-son-says-netanyahu-using-hostages-oct-7-to-establish-dictatorship-in-israel/00000199-7a57-d04a-adfd-7f57d14a0000
"At least 20 Palestinians, including children, reportedly killed in IDF strike on Gaza City building","According to Gaza medical sources, at least 73 people have been killed in Israeli attacks since midnight. Hamas said that displaced residents are returning due to the lack of basic services in southern Gaza and accused Israel of misleading the population",https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/at-least-20-palestinians-reportedly-killed-in-idf-strike-on-gaza-city-building/00000199-7aab-df8f-afbd-ffef188c0000,Haaretz,Jack Khoury,2025-09-24T07:46:09,2025-09-24 20:09:52.713155,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/at-least-20-palestinians-reportedly-killed-in-idf-strike-on-gaza-city-building/00000199-7aab-df8f-afbd-ffef188c0000
"Syria and Israel close to 'de-escalation' agreement, U.S. envoy says",U.S. Special Envoy for Syria Tom Barrack said the agreement would serve as the first step towards a security deal with Israel. Talks between Syrian and Israeli officials are taking place amid IDF strikes and reported ground operations in southern Syrian territory,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/syria-and-israel-close-to-de-escalation-agreement-u-s-envoy-says/00000199-7a95-d27b-affd-7e95f3460000,Haaretz,Haaretz,2025-09-24T08:43:33,2025-09-24 20:09:52.713123,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/syria-and-israel-close-to-de-escalation-agreement-u-s-envoy-says/00000199-7a95-d27b-affd-7e95f3460000
"IDF fatally shoots Palestinian man in West Bank, says he threw explosives at troops","Ahmed Barahmeh's killing marks the second Palestinian fatality in the West Bank in 12 hours. Separately, the IDF announced it was conducting searches in the Tulkarm area after a rocket was discovered and disabled by a bomb squad",https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/israeli-authorities-discover-and-disable-rocket-in-the-west-bank-idf-says/00000199-7af0-df8f-afbd-fffdb2620000,Haaretz,Yaniv Kubovich,2025-09-24T09:40:50,2025-09-24 20:09:52.713087,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/israeli-authorities-discover-and-disable-rocket-in-the-west-bank-idf-says/00000199-7af0-df8f-afbd-fffdb2620000
"G7 foreign ministers call for 'flood of humanitarian aid' into Gaza, urge Israel and Hamas to reach cease-fire","The seven countries, including the U.S. and France, called to end the 'immense suffering of civilians in Gaza through a flood of humanitarian aid and securing the release of all hostages,' in a statement at the UN General Assembly. They also lauded the EU snapback mechanism on Iran's nuclear program",https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/g7-foreign-ministers-call-for-flood-of-humanitarian-aid-into-gaza-urge-cease-fire/00000199-7b12-d27b-affd-7f92fbe40000,Haaretz,Haaretz,2025-09-24T10:12:16,2025-09-24 20:09:52.713051,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/g7-foreign-ministers-call-for-flood-of-humanitarian-aid-into-gaza-urge-cease-fire/00000199-7b12-d27b-affd-7f92fbe40000
"Isolated as ever, Netanyahu will try to persuade Trump to hold out for victory in Gaza","The UN General Assembly debunked Netanyahu's big lie and showed that contrary to his claim, Arab states, the U.S., and other Western countries all want Hamas removed from power. Trump must now decide which path will achieve this faster – a deal imposed on Israel or the conquest of Gaza City",https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/isolated-as-ever-netanyahu-will-try-to-persuade-trump-to-hold-out-for-victory-in-gaza/00000199-7b59-d27b-affd-7fd9ed5d0000,Haaretz,Chaim Levinson,2025-09-24T11:05:42,2025-09-24 20:09:52.713016,https://www.haaretz.com/israel-news/2025-09-24/ty-article/.premium/isolated-as-ever-netanyahu-will-try-to-persuade-trump-to-hold-out-for-victory-in-gaza/00000199-7b59-d27b-affd-7fd9ed5d0000
